Wavelength(nm),Intensity
638.897,47485.74
639.096,47431.18
639.295,47443.04
639.494,47591.62
639.693,47285.45
639.892,47579.02
640.09,47375.13
640.289,47684.55
640.488,47558.83
640.687,47528.6
640.886,47160.11
641.085,47248.48
641.284,47382.87
641.483,47242.15
641.682,47023.63
641.88,47337.85
642.079,47237.99
642.278,47004.9
642.477,46946.28
642.675,47369.41
642.874,47077.29
643.073,47336.54
643.272,47214.2
643.47,47499.95
643.669,46785.72
643.868,47130.87
644.066,46871.1
644.265,47091.24
644.464,46800.86
644.662,47037.54
644.861,46945.73
645.059,47393.78
645.258,46695.65
645.457,46948.25
645.655,46784.92
645.854,47087.37
646.052,46849.56
646.251,47077.54
646.449,46832.76
646.648,47088.49
646.846,46764.96
647.044,47346.11
647.243,46971.92
647.441,47442.67
647.64,47290.05
647.838,47341.13
648.036,47559.38
648.235,47854.15
648.433,47373.18
648.631,48132.92
648.83,47683.92
649.028,48047.48
649.226,47829.26
649.425,47985.34
649.623,47723.36
649.821,47665.12
650.019,47556.45
650.218,47980.79
650.416,47768.97
650.614,47648.2
650.812,47594.69
651.01,47631.29
651.208,47401.79
651.406,47834.88
651.605,47630.77
651.803,47859.64
652.001,47323.89
652.199,47511.5
652.397,47407.42
652.595,47420.82
652.793,47354.09
652.991,47449.84
653.189,47152.02
653.387,47299.8
653.585,47143.17
653.783,47354.38
653.981,46904.83
654.179,47369.68
654.377,47180.18
654.574,47436.65
654.772,47233.61
654.97,47367.61
655.168,47628.32
655.366,47393.11
655.564,47443.45
655.761,47441.21
655.959,47283.52
656.157,47236.52
656.355,47260.97
656.553,47165.29
656.75,47001.82
656.948,47362.55
657.146,47206.97
657.343,47683.04
657.541,47787.24
657.739,47726.46
657.936,47618.18
658.134,47844.93
658.332,47700.36
658.529,47660.8
658.727,47385.71
658.924,48029.68
659.122,47531.35
659.319,47483.18
659.517,47230.85
659.714,47468.47
659.912,47278.57
660.109,47426.98
660.307,46919.31
660.504,47303.26
660.702,47345.53
660.899,46824.2
661.097,46924.02
661.294,47064.49
661.491,46752.61
661.689,47122.08
661.886,46538.24
662.083,46811.65
662.281,46515.8
662.478,46945.24
662.675,46631.24
662.873,46809.93
663.07,47046.67
663.267,47163.49
663.464,46727.03
663.662,47183.38
663.859,46936.08
664.056,46908.44
664.253,46798.26
664.45,47181.82
664.647,46563.23
664.845,46782.06
665.042,46706.75
665.239,46908.01
665.436,46328.45
665.633,46802.9
665.83,46204.82
666.027,46580.6
666.224,46385.59
666.421,46393.17
666.618,46369.86
666.815,46416.86
667.012,46268.9
667.209,46397.69
667.406,46170.98
667.603,46280.12
667.8,45947.73
667.997,46156.5
668.194,45833.62
668.39,45714.74
668.587,45523.35
668.784,45840.5
668.981,45471.29
669.178,45785.96
669.375,45198.81
669.571,45627.92
669.768,45191.5
669.965,45705.7
670.162,45449.85
670.358,45602.12
670.555,45285.71
670.752,45714.08
670.948,45059.73
671.145,45941.0
671.342,45136.88
